title,full_text,link,image
"완벽한 여름휴가를 위한 스타일 고민을 끝낼 시간. 이국적인 리조트 룩부터 세련된 호캉스 룩까지, TPO 별 ","완벽한 여름휴가를 위한 스타일 고민을 끝낼 시간. 이국적인 리조트 룩부터 세련된 호캉스 룩까지, TPO 별 다채로운 바캉스 아이템을 신세계V 시즌오프에서 가장 합리적으로 만나보세요.",,
"HERNO
여성 보태니컬 프린트 A라인 드레스
1,690,000
PAUL SMITH
[PS PAUL SMIT","HERNO
여성 보태니컬 프린트 A라인 드레스
1,690,000
PAUL SMITH
[PS PAUL SMITH] 비치 프린트 셔츠
30% 350,000
DELLA LANA
레더 슬라이드
698,000",,https://image.shinsegaev.com/upload/C00001/s3/goods/org/310/260326149860310.jpg?RS=290&SP=1
"센티드 캔들 피스타치오 S
141,550","센티드 캔들 피스타치오 S
141,550",,https://image.shinsegaev.com/upload/C00001/s3/goods/org/385/260430156701385.jpg?RS=70&SP=1
"체이싱 선셋 EDT 30ML
129,000","체이싱 선셋 EDT 30ML
129,000",,https://image.shinsegaev.com/upload/C00001/s3/goods/org/596/260612166455596.jpg?RS=70&SP=1
"크루넥 니트 베스트
251,300","크루넥 니트 베스트
251,300",,https://image.shinsegaev.com/upload/C00001/s3/goods/org/561/260428156345561.jpg?RS=70&SP=1
"여성 보태니컬 프린트 A라인 드레스
1,690,000","여성 보태니컬 프린트 A라인 드레스
1,690,000",,https://image.shinsegaev.com/upload/C00001/s3/goods/org/310/260326149860310.jpg?RS=70&SP=1
LOEWE PERFUMES,"LOEWE PERFUMES
달콤하고 부드러운
피스타치오 캔들
5% 쿠폰 + 캔들 구매 시 사은품 증정
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/196/00/260600000734196_20260612152741.jpg?RS=600&SP=1
"달콤하고 부드러운
피스타치오 캔들","달콤하고 부드러운
피스타치오 캔들",,
5% 쿠폰 + 캔들 구매 시 사은품 증정,5% 쿠폰 + 캔들 구매 시 사은품 증정,,
GAYEON LEE & more,"GAYEON LEE & more
상반기 라이징
브랜드 모아보기
상반기 신규/베스트 브랜드 ~67% + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/837/00/260600000736837_20260624094628.jpg?RS=600&SP=1
"상반기 라이징
브랜드 모아보기","상반기 라이징
브랜드 모아보기",,
상반기 신규/베스트 브랜드 ~67% + 쿠폰,상반기 신규/베스트 브랜드 ~67% + 쿠폰,,
GENTLE MONSTER,"GENTLE MONSTER
젠틀몬스터
베지 컬렉션
채소의 형태를 재해석한 폴딩 아이웨어
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/288/00/260600000737288_20260624165149.jpg?RS=600&SP=1
"젠틀몬스터
베지 컬렉션","젠틀몬스터
베지 컬렉션",,
채소의 형태를 재해석한 폴딩 아이웨어,채소의 형태를 재해석한 폴딩 아이웨어,,
DELLA LANA,"DELLA LANA
가장 가벼운
계절의 촉감
리넨 & 실크 서머 베스트 5% 적립
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/468/00/260600000731468_20260625093953.jpg?cVer=25093953&RS=600&SP=1
"가장 가벼운
계절의 촉감","가장 가벼운
계절의 촉감",,
리넨 & 실크 서머 베스트 5% 적립,리넨 & 실크 서머 베스트 5% 적립,,
LA BRUKET,"LA BRUKET
스웨덴 숲의
시원한 여름 향기
~31% 할인 + 트래블 사이즈 기프트
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/960/00/260600000735960_20260619135811.jpg?RS=600&SP=1
"스웨덴 숲의
시원한 여름 향기","스웨덴 숲의
시원한 여름 향기",,
~31% 할인 + 트래블 사이즈 기프트,~31% 할인 + 트래블 사이즈 기프트,,
ALDO & more,"ALDO & more
여름 신발 준비
아직 늦지 않았어요
~70% 시즌오프 + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/824/00/260600000736824_20260624094112.jpg?cVer=25090202&RS=600&SP=1
"여름 신발 준비
아직 늦지 않았어요","여름 신발 준비
아직 늦지 않았어요",,
~70% 시즌오프 + 쿠폰,~70% 시즌오프 + 쿠폰,,
RAWROW,"RAWROW
로우로우 ALU
신규 컬러 론칭
최대 55% 할인 + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/763/00/260600000736763_20260624090554.jpg?RS=600&SP=1
"로우로우 ALU
신규 컬러 론칭","로우로우 ALU
신규 컬러 론칭",,
최대 55% 할인 + 쿠폰,최대 55% 할인 + 쿠폰,,
LACOSTE,"LACOSTE
프렌치 클래식
라코스테
시즌오프 & 베스트, ~40% + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/492/00/260600000735492_20260618093117.jpg?cVer=22092810&RS=600&SP=1
"프렌치 클래식
라코스테","프렌치 클래식
라코스테",,
"시즌오프 & 베스트, ~40% + 쿠폰","시즌오프 & 베스트, ~40% + 쿠폰",,
VUORI,"VUORI
뷰오리
상반기 베스트
베스트 아이템 20% 할인 + 사은품 증정
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/557/00/260600000735557_20260624101932.jpg?cVer=24101932&RS=600&SP=1
"뷰오리
상반기 베스트","뷰오리
상반기 베스트",,
베스트 아이템 20% 할인 + 사은품 증정,베스트 아이템 20% 할인 + 사은품 증정,,
WAGENSTEIGER,"WAGENSTEIGER
주방의 기본을
정돈할 시간
바겐슈타이거 ~86% + 12% 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/989/00/260600000736989_20260624111431.jpg?RS=600&SP=1
"주방의 기본을
정돈할 시간","주방의 기본을
정돈할 시간",,
바겐슈타이거 ~86% + 12% 쿠폰,바겐슈타이거 ~86% + 12% 쿠폰,,
